date,flag,core_score,core_phase,p1_1y,p2_1y,p3_1y,smh_weak,energy_rotation
2026-05-18,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-05-19,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-05-20,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-05-21,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-05-22,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-05-25,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-05-26,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-05-27,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-05-28,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-05-29,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-06-01,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-06-02,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-06-03,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-06-04,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-06-05,GREEN,1.0,1,79.76,9.92,10.32,False,False
2026-06-08,GREEN,1.0,1,79.76,9.92,10.32,False,False
2026-06-09,GREEN,1.0,1,79.76,9.92,10.32,False,False
2026-06-10,GREEN,1.0,1,79.76,9.92,10.32,False,False
2026-06-11,GREEN,1.0,1,79.76,9.92,10.32,False,False
2026-06-12,GREEN,1.0,1,79.76,9.92,10.32,False,False
2026-06-15,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-06-16,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-06-17,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-06-18,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-06-19,GREEN,0.0,1,79.76,9.92,10.32,False,False
2026-06-22,GREEN,1.0,1,79.76,9.92,10.32,False,False
2026-06-23,GREEN,1.0,1,79.76,9.92,10.32,False,False
2026-06-24,GREEN,1.0,1,79.76,9.92,10.32,False,False
2026-06-25,GREEN,1.0,1,79.76,9.92,10.32,False,False
2026-06-26,GREEN,1.0,1,79.76,9.92,10.32,False,False
